

===== RELATORIO GERAL DE PEDIDOS =====
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 1
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 2
	- Sanduiche: Vazio
	- Guarnição: Batata Bequena
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 3
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Joaquim Barcelos

	- Numero do pedido: 4
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Joaquim Barcelos

	- Numero do pedido: 5
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 6
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 7
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 8
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 9
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Joaquim Barcelos

	- Numero do pedido: 10
	- Sanduiche: Vazio
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 11
	- Sanduiche: Vazio
	- Guarnição: Batata Bequena
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Joaquim Barcelos

	- Numero do pedido: 12
	- Sanduiche: Vazio
	- Guarnição: Batata Bequena
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 13
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 14
	- Sanduiche: Vazio
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 15
	- Sanduiche: Vazio
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Joaquim Barcelos

	- Numero do pedido: 16
	- Sanduiche: Vazio
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Joaquim Barcelos

	- Numero do pedido: 17
	- Sanduiche: Vazio
	- Guarnição: Vazio
	- Bebida: Morango com Leite
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 18
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 19
	- Sanduiche: Vazio
	- Guarnição: Batata Bequena
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 20
	- Sanduiche: Vazio
	- Guarnição: Batata Bequena
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 21
	- Sanduiche: X-Tudo
	- Guarnição: Vazio
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Cezar dos Santos

	- Numero do pedido: 22
	- Sanduiche: Vazio
	- Guarnição: Batata Bequena
	- Bebida: Vazio
------------------------------------------------------------------------

Pedido para o cliente: Joaquim Barcelos

	- Numero do pedido: 23
	- Sanduiche: X-Tudo
	- Guarnição: Batata Bequena
	- Bebida: Morango com Leite

---Relatorio gerado em: 16/12/2021-------
